0,player,nodes,knowledge,controller,percent
27.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;1;0;1;0;1;2;2;2;2],[-1;-1;-1;-1;-1;-1;-1;1;1;1;1],[0.000000;0.000000;-8.000000;0.000000;80.000000;0.000000;-56.000000;-100.000000;-100.000000;-100.000000;-100.000000]
28.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;1;2;1;0;0;0;0;0;2],[0;0;-1;0;-1;-1;-1;-1;-1;-1;1],[100.000000;100.000000;-8.000000;100.000000;80.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000]
28.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;1;0;1;0;1;2;2;2;2],[-1;-1;-1;-1;-1;-1;-1;1;1;1;1],[0.000000;0.000000;-8.000000;0.000000;80.000000;0.000000;-56.000000;-100.000000;-100.000000;-100.000000;-100.000000]
29.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;1;2;1;0;0;0;0;0;2],[0;0;-1;0;-1;-1;-1;-1;-1;-1;1],[100.000000;100.000000;-8.000000;100.000000;72.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000]
29.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;1;0;2;0;1;2;2;2;2],[-1;-1;-1;-1;-1;-1;-1;1;1;1;1],[0.000000;0.000000;-8.000000;0.000000;72.000000;0.000000;-56.000000;-100.000000;-100.000000;-100.000000;-100.000000]
30.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;1;2;1;0;0;0;0;0;2],[0;0;-1;0;-1;-1;-1;-1;-1;-1;1],[100.000000;100.000000;-24.000000;100.000000;72.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000]
30.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;1;2;0;1;1;1;2;2;2;2],[-1;0;-1;-1;-1;-1;-1;1;1;1;1],[0.000000;100.000000;-24.000000;0.000000;72.000000;0.000000;-56.000000;-100.000000;-100.000000;-100.000000;-100.000000]
31.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;1;2;1;0;0;0;0;0;2],[0;0;-1;0;-1;-1;-1;-1;-1;-1;1],[100.000000;100.000000;-40.000000;100.000000;72.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000]
31.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;1;2;0;1;1;1;2;2;2;2],[-1;0;-1;-1;-1;-1;-1;1;1;1;1],[0.000000;100.000000;-40.000000;0.000000;72.000000;0.000000;-56.000000;-100.000000;-100.000000;-100.000000;-100.000000]
32.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;1;2;1;0;0;0;0;0;2],[0;0;-1;0;-1;-1;-1;-1;-1;-1;1],[100.000000;100.000000;-56.000000;100.000000;72.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-96.800000]
32.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;1;2;0;1;2;1;2;2;2;2],[-1;0;-1;-1;-1;-1;-1;1;1;1;1],[0.000000;100.000000;-56.000000;0.000000;72.000000;-8.000000;-56.000000;-100.000000;-100.000000;-100.000000;-96.800000]
33.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;1;2;1;0;1;0;0;0;2],[0;0;-1;0;-1;-1;-1;-1;-1;-1;1],[100.000000;100.000000;-72.000000;100.000000;72.000000;0.000000;-72.000000;0.000000;0.000000;0.000000;-93.600000]
33.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;1;2;0;1;2;2;2;2;2;2],[-1;0;-1;-1;-1;-1;-1;1;1;1;1],[0.000000;100.000000;-72.000000;0.000000;72.000000;-16.000000;-72.000000;-100.000000;-100.000000;-100.000000;-93.600000]
34.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;0;2;0;0;1;0;0;0;2],[0;0;-1;0;-1;-1;-1;-1;-1;-1;1],[100.000000;92.000000;0.000000;100.000000;0.000000;0.000000;-80.000000;0.000000;0.000000;0.000000;-90.400000]
34.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;2;2;0;1;2;2;2;2;2;2],[-1;0;-1;-1;-1;-1;-1;1;1;1;1],[0.000000;92.000000;-88.000000;0.000000;72.000000;-24.000000;-80.000000;-100.000000;-100.000000;-100.000000;-90.400000]
35.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;0;2;0;0;1;1;0;0;2],[0;0;-1;0;-1;-1;-1;1;-1;-1;1],[100.000000;84.000000;0.000000;100.000000;0.000000;0.000000;-88.000000;-100.000000;0.000000;0.000000;-88.400000]
35.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;2;0;1;1;2;2;2;2;2;2],[-1;0;-1;0;-1;-1;-1;1;1;1;1],[0.000000;84.000000;0.000000;100.000000;72.000000;-32.000000;-88.000000;-100.000000;-100.000000;-100.000000;-88.400000]
36.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;0;2;0;0;1;1;0;0;2],[0;0;-1;0;-1;-1;-1;1;-1;-1;1],[100.000000;76.000000;0.000000;100.000000;0.000000;0.000000;-96.000000;-100.000000;0.000000;0.000000;-88.400000]
36.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;2;0;1;1;0;2;2;2;2;2],[-1;0;-1;0;-1;-1;-1;1;1;1;1],[0.000000;76.000000;0.000000;100.000000;72.000000;0.000000;-96.000000;-100.000000;-100.000000;-100.000000;-88.400000]
37.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;0;2;0;0;2;1;0;0;0],[0;0;-1;0;-1;-1;-1;1;-1;-1;-1],[100.000000;68.000000;0.000000;100.000000;0.000000;0.000000;-96.000000;-100.000000;0.000000;0.000000;0.000000]
37.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;2;0;1;1;0;2;2;2;2;2],[-1;0;-1;0;-1;-1;-1;1;1;1;1],[0.000000;68.000000;0.000000;100.000000;72.000000;0.000000;-96.000000;-100.000000;-100.000000;-100.000000;-90.800000]
38.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;0;2;0;0;2;2;1;0;0],[0;0;-1;0;-1;-1;-1;1;1;-1;-1],[100.000000;60.000000;0.000000;100.000000;0.000000;0.000000;-96.000000;-100.000000;-100.000000;0.000000;0.000000]
38.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;2;0;1;1;0;2;2;2;2;2],[-1;0;-1;0;-1;-1;-1;1;1;1;1],[0.000000;60.000000;0.000000;100.000000;72.000000;0.000000;-96.000000;-100.000000;-100.000000;-100.000000;-93.200000]
39.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;0;2;0;0;0;2;1;0;0],[0;0;-1;0;-1;-1;-1;1;1;-1;-1],[100.000000;52.000000;0.000000;84.000000;0.000000;0.000000;0.000000;-100.000000;-100.000000;0.000000;0.000000]
39.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;2;0;2;1;0;2;2;2;2;2],[-1;0;-1;0;-1;-1;1;1;1;1;1],[0.000000;52.000000;0.000000;84.000000;72.000000;0.000000;-100.000000;-100.000000;-100.000000;-100.000000;-95.600000]
40.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;0;2;0;0;0;2;1;0;0],[0;0;-1;0;-1;-1;-1;1;1;-1;-1],[100.000000;44.000000;0.000000;68.000000;0.000000;0.000000;0.000000;-90.000000;-100.000000;0.000000;0.000000]
40.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;2;0;2;1;0;2;2;2;2;2],[-1;0;-1;0;-1;-1;1;1;1;1;1],[0.000000;44.000000;0.000000;68.000000;72.000000;0.000000;-100.000000;-90.000000;-100.000000;-100.000000;-98.000000]
41.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;0;2;0;0;0;2;1;0;1],[0;0;-1;0;-1;-1;-1;1;1;-1;1],[100.000000;36.000000;0.000000;52.000000;0.000000;0.000000;0.000000;-84.000000;-100.000000;0.000000;-100.000000]
41.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;2;0;2;1;0;2;2;2;2;2],[-1;0;-1;0;-1;-1;1;1;1;1;1],[0.000000;36.000000;0.000000;52.000000;72.000000;0.000000;-100.000000;-84.000000;-100.000000;-100.000000;-100.000000]
42.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;0;2;0;0;0;0;1;0;1],[0;0;-1;0;-1;-1;-1;-1;1;-1;1],[100.000000;28.000000;0.000000;20.000000;0.000000;0.000000;0.000000;0.000000;-100.000000;0.000000;-100.000000]
42.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;2;0;2;2;0;2;2;2;2;2],[-1;0;-1;0;-1;-1;1;1;1;1;1],[0.000000;28.000000;0.000000;20.000000;64.000000;0.000000;-100.000000;-84.000000;-100.000000;-100.000000;-100.000000]
43.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;0;0;0;0;0;0;1;0;1],[0;0;-1;-1;-1;-1;-1;-1;1;-1;1],[100.000000;20.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000;0.000000;-100.000000]
43.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;2;1;2;2;0;2;2;2;2;2],[-1;0;-1;-1;-1;-1;1;1;1;1;1],[0.000000;20.000000;-88.000000;-12.000000;56.000000;0.000000;-100.000000;-84.000000;-100.000000;-100.000000;-100.000000]
44.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;0;0;0;0;0;0;2;0;2],[0;0;-1;-1;-1;-1;-1;-1;1;-1;1],[100.000000;12.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000;0.000000;-100.000000]
44.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[1;2;1;0;2;0;2;2;2;2;2],[0;0;-1;-1;-1;-1;1;1;1;1;1],[100.000000;12.000000;-88.000000;0.000000;48.000000;0.000000;-100.000000;-84.000000;-100.000000;-100.000000;-100.000000]
45.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;0;0;0;0;0;0;2;0;2],[0;0;-1;-1;-1;-1;-1;-1;1;-1;1],[100.000000;4.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000;0.000000;-100.000000]
45.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[1;2;1;0;2;0;2;2;2;2;2],[0;0;-1;-1;-1;-1;1;1;1;1;1],[100.000000;4.000000;-88.000000;0.000000;40.000000;0.000000;-100.000000;-84.000000;-100.000000;-100.000000;-100.000000]
46.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;1;0;0;0;0;0;0;2;0;2],[0;-1;-1;-1;-1;-1;-1;-1;1;-1;1],[100.000000;-4.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000;0.000000;-100.000000]
46.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[1;2;1;0;2;0;2;2;2;2;2],[0;-1;-1;-1;-1;-1;1;1;1;1;1],[100.000000;-4.000000;-88.000000;0.000000;32.000000;0.000000;-100.000000;-84.000000;-100.000000;-100.000000;-100.000000]
47.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;1;0;0;0;0;0;0;2;0;0],[0;-1;-1;-1;-1;-1;-1;-1;1;-1;-1],[100.000000;-12.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000;0.000000;0.000000]
47.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[1;2;1;0;2;0;2;2;2;2;2],[0;-1;-1;-1;-1;-1;1;1;1;1;1],[100.000000;-12.000000;-88.000000;0.000000;24.000000;0.000000;-100.000000;-84.000000;-100.000000;-100.000000;-100.000000]
48.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;1;0;0;0;0;0;0;2;0;0],[0;-1;-1;-1;-1;-1;-1;-1;1;-1;-1],[100.000000;-20.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000;0.000000;0.000000]
48.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[1;2;1;0;2;0;2;2;2;2;2],[0;-1;-1;-1;-1;-1;1;1;1;1;1],[100.000000;-20.000000;-88.000000;0.000000;16.000000;0.000000;-100.000000;-84.000000;-100.000000;-100.000000;-100.000000]
49.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;1;0;0;0;0;0;0;2;0;0],[0;-1;-1;-1;-1;-1;-1;-1;1;-1;-1],[100.000000;-28.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000;0.000000;0.000000]
