numberOfTurns,winType,player_1,player_2,groupLossTurn,groupLostPlayer,groupLostUnitType,combinedStat,winner
150.000000,1,1626,543,22.000000,0,1,-1,0
150.000000,1,802,846,40.000000,1,1,1,1
150.000000,1,1436,1337,31.000000,1,1,1,0
150.000000,1,771,1052,40.000000,0,3,-3,1
150.000000,1,1551,716,28.000000,1,1,1,0
150.000000,1,1589,1506,40.000000,1,1,1,0
150.000000,1,2046,1566,36.000000,0,2,-2,0
150.000000,1,1072,1207,36.000000,1,1,1,1
150.000000,1,1437,1427,40.000000,1,1,1,0
150.000000,1,843,1093,32.000000,1,1,1,1
150.000000,1,1944,1387,35.000000,0,1,-1,0
150.000000,1,1142,1536,55.000000,1,1,1,1
150.000000,1,895,1850,29.000000,1,1,1,1
150.000000,1,1265,295,39.000000,1,3,3,0
150.000000,1,1560,1413,47.000000,1,1,1,0
150.000000,1,762,1698,40.000000,1,1,1,1
150.000000,1,1343,1177,29.000000,0,1,-1,0
150.000000,1,1415,1576,52.000000,1,3,3,1
150.000000,1,1542,1216,39.000000,0,1,-1,0
150.000000,1,242,1114,31.000000,0,3,-3,1
150.000000,1,1316,1977,35.000000,0,1,-1,1
150.000000,1,1691,520,34.000000,0,1,-1,0
150.000000,1,1669,903,36.000000,1,1,1,0
150.000000,1,1740,1078,37.000000,1,1,1,0
150.000000,1,610,1487,44.000000,0,1,-1,1
150.000000,1,1737,940,20.000000,0,1,-1,0
150.000000,1,895,1549,55.000000,0,1,-1,1
150.000000,1,1237,966,30.000000,0,1,-1,0
150.000000,1,1299,1591,47.000000,1,1,1,1
150.000000,1,1588,1485,33.000000,1,1,1,0
150.000000,1,1586,719,52.000000,1,1,1,0
150.000000,1,707,1110,31.000000,1,1,1,1
150.000000,1,2097,1149,35.000000,1,1,1,0
150.000000,1,1705,1416,31.000000,1,1,1,0
150.000000,1,1738,431,28.000000,0,1,-1,0
150.000000,1,1127,884,23.000000,1,1,1,0
150.000000,1,988,786,43.000000,1,1,1,0
150.000000,1,890,1458,44.000000,1,1,1,1
150.000000,1,724,980,29.000000,1,1,1,1
150.000000,1,1969,575,25.000000,1,1,1,0
150.000000,1,763,707,29.000000,1,1,1,0
150.000000,1,558,1426,24.000000,0,1,-1,1
150.000000,1,1386,867,24.000000,1,1,1,0
150.000000,1,918,1480,40.000000,0,1,-1,1
150.000000,1,932,1618,55.000000,0,1,-1,1
150.000000,1,817,1809,35.000000,1,1,1,1
150.000000,1,935,2123,50.000000,1,1,1,1
150.000000,1,767,1671,29.000000,0,1,-1,1
150.000000,1,1242,2296,53.000000,0,1,-1,1
150.000000,1,1230,1562,28.000000,0,3,-3,1
150.000000,1,508,2259,20.000000,0,1,-1,1
150.000000,1,1436,759,37.000000,0,1,-1,0
150.000000,1,1122,611,38.000000,1,1,1,0
150.000000,1,816,767,51.000000,0,1,-1,0
150.000000,1,2019,583,21.000000,0,1,-1,0
150.000000,1,850,766,59.000000,1,1,1,0
150.000000,1,1352,1521,35.000000,0,1,-1,1
150.000000,1,1221,1548,49.000000,0,1,-1,1
150.000000,1,970,1354,54.000000,1,3,3,1
150.000000,1,866,1467,45.000000,0,1,-1,1
150.000000,1,628,1352,34.000000,0,1,-1,1
150.000000,1,399,928,45.000000,0,1,-1,1
150.000000,1,644,960,51.000000,1,1,1,1
150.000000,1,1892,640,25.000000,0,1,-1,0
150.000000,1,1452,1512,34.000000,0,1,-1,1
150.000000,1,2283,1041,28.000000,1,1,1,0
150.000000,1,1103,566,29.000000,1,1,1,0
150.000000,1,1149,999,27.000000,0,1,-1,0
150.000000,1,1368,648,24.000000,0,1,-1,0
150.000000,1,1444,1848,48.000000,0,1,-1,1
150.000000,1,408,2025,67.000000,0,3,-3,1
150.000000,1,1788,547,45.000000,1,1,1,0
150.000000,1,484,1827,31.000000,1,1,1,1
150.000000,1,1663,1791,25.000000,1,1,1,1
150.000000,1,1181,1176,24.000000,1,1,1,0
150.000000,1,1421,1660,40.000000,0,1,-1,1
150.000000,1,735,1235,25.000000,1,1,1,1
150.000000,1,2279,432,41.000000,1,1,1,0
150.000000,1,1718,1643,69.000000,0,1,-1,0
150.000000,1,896,1273,35.000000,0,1,-1,1
150.000000,1,1992,383,35.000000,1,1,1,0
150.000000,1,1145,863,14.000000,0,1,-1,0
150.000000,1,1824,1574,48.000000,0,1,-1,0
150.000000,1,1862,1571,30.000000,0,1,-1,0
150.000000,1,1742,1241,31.000000,1,1,1,0
150.000000,1,668,774,40.000000,1,1,1,1
150.000000,1,1257,2015,59.000000,0,3,-3,1
150.000000,1,1527,923,28.000000,1,1,1,0
150.000000,1,1604,1461,24.000000,0,1,-1,0
150.000000,1,1421,1379,30.000000,0,1,-1,0
150.000000,1,1136,1852,19.000000,0,1,-1,1
150.000000,1,1196,2055,30.000000,1,1,1,1
150.000000,1,1425,1577,34.000000,1,1,1,1
150.000000,1,847,1315,38.000000,0,1,-1,1
150.000000,1,1343,2241,34.000000,1,1,1,1
150.000000,1,1107,901,28.000000,0,1,-1,0
150.000000,1,1547,1645,38.000000,0,1,-1,1
150.000000,1,1185,670,35.000000,1,1,1,0
150.000000,1,542,1190,44.000000,1,2,2,1
150.000000,1,1987,1500,18.000000,1,1,1,0
150.000000,1,1289,1443,29.000000,0,1,-1,1
150.000000,1,677,1407,41.000000,1,1,1,1
150.000000,1,841,1366,59.000000,1,3,3,1
150.000000,1,1377,771,30.000000,1,1,1,0
150.000000,1,1335,1015,46.000000,1,1,1,0
150.000000,1,1520,1936,61.000000,0,1,-1,1
150.000000,1,1431,286,58.000000,1,2,2,0
150.000000,1,2171,580,43.000000,1,1,1,0
150.000000,1,1134,1425,54.000000,0,3,-3,1
150.000000,1,1140,1513,21.000000,0,1,-1,1
150.000000,1,827,678,37.000000,0,1,-1,0
150.000000,1,1119,548,44.000000,1,1,1,0
150.000000,1,572,1492,46.000000,0,1,-1,1
150.000000,1,1868,1343,25.000000,0,1,-1,0
150.000000,1,1732,1860,16.000000,0,1,-1,1
150.000000,1,678,914,17.000000,1,1,1,1
150.000000,1,1506,1986,22.000000,0,1,-1,1
150.000000,1,1748,841,33.000000,0,1,-1,0
150.000000,1,1517,664,26.000000,1,1,1,0
150.000000,1,824,1785,39.000000,0,1,-1,1
150.000000,1,1576,1736,31.000000,0,1,-1,1
