TurnNumber,TruePositive,FalsePositive,TrueNegative,FalseNegative,Accuracy,Specificity,Sensitivity,Precesion,F2Score
117,52,0,2,39,0.5806451612903226,1.0,0.5714285714285714,1.0,2.2857142857142856
118,52,0,2,39,0.5806451612903226,1.0,0.5714285714285714,1.0,2.2857142857142856
119,52,0,2,39,0.5806451612903226,1.0,0.5714285714285714,1.0,2.2857142857142856
120,52,0,2,39,0.5806451612903226,1.0,0.5714285714285714,1.0,2.2857142857142856
121,54,0,2,37,0.6021505376344086,1.0,0.5934065934065934,1.0,2.3736263736263736
122,53,0,2,38,0.5913978494623656,1.0,0.5824175824175825,1.0,2.32967032967033
123,57,0,2,34,0.6344086021505376,1.0,0.6263736263736264,1.0,2.5054945054945055
124,56,0,2,35,0.6236559139784946,1.0,0.6153846153846154,1.0,2.4615384615384617
125,56,0,2,35,0.6236559139784946,1.0,0.6153846153846154,1.0,2.4615384615384617
126,82,0,2,9,0.9032258064516129,1.0,0.9010989010989011,1.0,3.6043956043956045
127,83,0,2,8,0.9139784946236559,1.0,0.9120879120879121,1.0,3.6483516483516483
128,85,0,2,6,0.9354838709677419,1.0,0.9340659340659341,1.0,3.7362637362637363
129,85,1,1,6,0.9247311827956989,0.5,0.9340659340659341,0.9883720930232558,3.7362637362637363
130,86,1,1,5,0.9354838709677419,0.5,0.945054945054945,0.9885057471264368,3.78021978021978
131,88,0,2,3,0.967741935483871,1.0,0.967032967032967,1.0,3.868131868131868
132,88,0,2,3,0.967741935483871,1.0,0.967032967032967,1.0,3.868131868131868
133,88,0,2,3,0.967741935483871,1.0,0.967032967032967,1.0,3.868131868131868
134,87,0,2,4,0.956989247311828,1.0,0.9560439560439561,1.0,3.8241758241758244
135,87,0,2,4,0.956989247311828,1.0,0.9560439560439561,1.0,3.8241758241758244
136,86,0,2,5,0.946236559139785,1.0,0.945054945054945,1.0,3.78021978021978
137,86,0,2,5,0.946236559139785,1.0,0.945054945054945,1.0,3.78021978021978
138,86,0,2,5,0.946236559139785,1.0,0.945054945054945,1.0,3.78021978021978
139,86,0,2,5,0.946236559139785,1.0,0.945054945054945,1.0,3.78021978021978
140,86,0,2,5,0.946236559139785,1.0,0.945054945054945,1.0,3.78021978021978
141,87,0,2,4,0.956989247311828,1.0,0.9560439560439561,1.0,3.8241758241758244
142,87,0,2,4,0.956989247311828,1.0,0.9560439560439561,1.0,3.8241758241758244
143,87,0,2,4,0.956989247311828,1.0,0.9560439560439561,1.0,3.8241758241758244
144,87,0,2,4,0.956989247311828,1.0,0.9560439560439561,1.0,3.8241758241758244
145,87,0,2,4,0.956989247311828,1.0,0.9560439560439561,1.0,3.8241758241758244
146,90,0,2,1,0.989247311827957,1.0,0.989010989010989,1.0,3.956043956043956
