numberOfTurns,winType,player_1,player_2,groupLossTurn,groupLostPlayer,groupLostUnitType,combinedStat,winner
85.000000,2,2344,1737,31.000000,0,1,-1,0
90.000000,2,3220,1244,29.000000,1,1,1,0
102.000000,2,2483,1846,26.000000,0,1,-1,0
84.000000,2,2598,1513,24.000000,1,1,1,0
85.000000,2,2551,1549,18.000000,1,3,3,0
87.000000,2,2672,1285,30.000000,0,1,-1,0
85.000000,2,3104,1483,30.000000,0,1,-1,0
89.000000,2,2160,1132,28.000000,0,1,-1,0
150.000000,1,1468,2208,27.000000,1,1,1,1
87.000000,2,3068,1719,26.000000,0,1,-1,0
86.000000,2,3088,1413,33.000000,0,1,-1,0
84.000000,2,2308,1432,29.000000,1,1,1,0
91.000000,2,3116,1555,32.000000,1,1,1,0
88.000000,2,2541,1535,34.000000,0,1,-1,0
90.000000,2,2570,1461,30.000000,1,2,2,0
73.000000,2,3165,1356,18.000000,1,1,1,0
79.000000,2,3334,1344,12.000000,1,1,1,0
85.000000,2,2504,1717,29.000000,0,1,-1,0
87.000000,2,2540,1509,27.000000,1,1,1,0
89.000000,2,2599,1158,17.000000,1,1,1,0
88.000000,2,2392,1516,14.000000,1,1,1,0
96.000000,2,2360,1693,29.000000,0,1,-1,0
86.000000,2,3296,1348,28.000000,0,1,-1,0
150.000000,1,1162,2263,28.000000,1,1,1,1
89.000000,2,2720,1401,33.000000,0,1,-1,0
89.000000,2,2476,1670,29.000000,0,1,-1,0
91.000000,2,2620,1069,30.000000,1,1,1,0
97.000000,2,2504,1152,24.000000,0,1,-1,0
79.000000,2,2650,772,26.000000,1,3,3,0
77.000000,2,2559,1031,25.000000,1,1,1,0
89.000000,2,2544,1625,29.000000,0,1,-1,0
88.000000,2,2272,1871,24.000000,0,1,-1,0
81.000000,2,2460,1170,17.000000,1,1,1,0
150.000000,1,948,2236,34.000000,1,2,2,1
94.000000,2,2366,1490,18.000000,1,1,1,0
84.000000,2,2090,1677,27.000000,0,1,-1,0
150.000000,1,1498,1070,28.000000,1,3,3,0
79.000000,2,3166,1174,29.000000,1,3,3,0
74.000000,2,2653,1470,24.000000,1,1,1,0
82.000000,2,2425,1358,24.000000,1,1,1,0
86.000000,2,2670,1064,31.000000,1,2,2,0
150.000000,1,689,2239,32.000000,1,3,3,1
89.000000,2,2534,1522,28.000000,0,1,-1,0
82.000000,2,2680,968,25.000000,1,1,1,0
84.000000,2,2686,952,31.000000,1,3,3,0
75.000000,2,2306,1162,24.000000,1,1,1,0
91.000000,2,2568,1308,39.000000,1,2,2,0
85.000000,2,3268,1288,29.000000,0,1,-1,0
77.000000,2,2495,1124,25.000000,1,1,1,0
90.000000,2,2544,1472,26.000000,0,1,-1,0
91.000000,2,3094,1378,25.000000,0,1,-1,0
150.000000,1,1668,2232,25.000000,1,1,1,1
150.000000,1,852,2252,35.000000,1,1,1,1
79.000000,2,3160,1147,33.000000,1,1,1,0
86.000000,2,2562,1179,24.000000,1,1,1,0
150.000000,1,783,1301,32.000000,0,1,-1,1
85.000000,2,3072,1115,28.000000,1,1,1,0
91.000000,2,3068,1882,29.000000,0,1,-1,0
150.000000,1,1320,2043,41.000000,0,1,-1,1
150.000000,1,485,1315,30.000000,1,1,1,1
150.000000,1,1275,1210,18.000000,1,1,1,0
91.000000,2,2524,1544,25.000000,0,1,-1,0
150.000000,1,516,1599,38.000000,1,1,1,1
90.000000,2,2564,992,12.000000,1,1,1,0
75.000000,2,2640,1139,30.000000,1,3,3,0
85.000000,2,2581,1592,28.000000,0,1,-1,0
92.000000,2,2376,1387,36.000000,1,3,3,0
86.000000,2,2109,1543,28.000000,0,1,-1,0
86.000000,2,2544,1368,34.000000,1,3,3,0
82.000000,2,2592,1523,33.000000,1,3,3,0
81.000000,2,2470,1314,28.000000,1,1,1,0
74.000000,2,2368,1167,26.000000,1,3,3,0
85.000000,2,2205,1270,33.000000,0,1,-1,0
87.000000,2,2560,1022,17.000000,1,1,1,0
93.000000,2,2600,1198,33.000000,0,1,-1,0
79.000000,2,2570,1191,19.000000,1,1,1,0
94.000000,2,2582,1541,31.000000,0,1,-1,0
89.000000,2,2536,1739,28.000000,1,1,1,0
93.000000,2,2556,1144,26.000000,1,1,1,0
91.000000,2,2576,1404,28.000000,0,1,-1,0
86.000000,2,2408,1543,28.000000,1,1,1,0
82.000000,2,2650,1180,31.000000,1,3,3,0
97.000000,2,2536,1734,23.000000,0,1,-1,0
89.000000,2,2496,1767,29.000000,0,1,-1,0
82.000000,2,2616,1459,12.000000,1,1,1,0
76.000000,2,2410,1328,27.000000,1,1,1,0
76.000000,2,2573,1311,54.000000,1,3,3,0
89.000000,2,3282,968,12.000000,1,1,1,0
150.000000,1,852,2334,16.000000,1,1,1,1
